"Submission.ID","Common.Name","Scientific.Name","Taxonomic.Order","Count","State.Province","County","Location","Latitude","Longitude","Date","Time","Protocol","Duration..Min.","All.Obs.Reported","Distance.Traveled..km.","Area.Covered..ha.","Number.of.Observers","Breeding.Code","Species.Comments","Checklist.Comments","Type.1","Grid.no","AM.PM","Segment","Habitat","Sal","Mix","Grass","Range","Species.category","valid"
"S35306142","Lesser Whistling-Duck","Dendrocygna javanica",222,80,"IN-MP","Balaghat","22.1701x81.0028 - 18-Mar-2017, 12:40 PM",22.170092,81.00285,"03-18-2017","12:39 PM","eBird - Stationary Count",16,1,NA,NA,6,"","","Peeparwada Lake ","Water","","PM",NA,"",NA,NA,NA,NA,"species",1
"S35306170","Lesser Whistling-Duck","Dendrocygna javanica",222,16,"IN-MP","Balaghat","22.1929x80.9662 - 18-Mar-2017, 11:51 AM",22.192949,80.966174,"03-18-2017","11:50 AM","eBird - Traveling Count",18,1,0.1,NA,6,"","","At Chilpura Lake ","Water","","AM",NA,"",NA,NA,NA,NA,"species",1
"S35323651","Lesser Whistling-Duck","Dendrocygna javanica",222,80,"IN-MP","Balaghat","IN-Madhya Pradesh-Unnamed Road - 22.17x81.003 - 20 Mar 2017 09:35",22.169817,81.0029242,"03-19-2017","10:18 AM","eBird - Traveling Count",60,1,5,NA,4,"","","","General","","AM",NA,"",NA,NA,NA,NA,"species",1
"S35350584","Lesser Whistling-Duck","Dendrocygna javanica",222,40,"IN-MP","Mandla","IN-Madhya Pradesh-Kanha National Park - 22.3066x80.5215 - 18-Mar-2017, 6:40 PM",22.306559,80.521495,"03-17-2017","06:00 PM","eBird - Casual Observation",NA,0,NA,NA,1,"","","Birds seen or heard during the stay Kanha ","General","","PM",NA,"",NA,NA,NA,NA,"species",1
"S35340762","Lesser Whistling-Duck","Dendrocygna javanica",222,65,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-17-2017","06:32 PM","eBird - Stationary Count",4,1,NA,NA,3,"","","","General","","PM",NA,"",NA,NA,NA,NA,"species",1
"S35407959","Lesser Whistling-Duck","Dendrocygna javanica",222,120,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","07:26 AM","eBird - Traveling Count",19,1,0.2,NA,6,"","","Team Baza  Location E5 Kanhari b4 - 22.2803680.64307  Grassland. Langur, Spotted deer.","Transect","E5","AM",4,"Grass 1.0",0,0,1,"Kanha","species",1
"S35407972","Lesser Whistling-Duck","Dendrocygna javanica",222,157,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","04:32 PM","eBird - Traveling Count",12,1,0.2,NA,5,"","","Team Baza  Location E5 Kanhari b4 - 22.2803680.64307  Barasingha, wild boar, langur.","Transect","E5","PM",4,"Grass 1.0",0,0,1,"Kanha","species",1
"S35323661","Lesser Whistling-Duck","Dendrocygna javanica",222,120,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-19-2017","10:27 AM","eBird - Stationary Count",24,1,NA,NA,5,"","","Jami Talav  Basinkhar  22.11365, 80.74565  +Jungle Cat","Water","","AM",NA,"",NA,NA,NA,NA,"species",1
"S35323870","Lesser Whistling-Duck","Dendrocygna javanica",222,86,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-19-2017","12:04 PM","eBird - Stationary Count",8,1,NA,NA,2,"","","Sq and gb. Kisli lake.","Water","","PM",NA,"",NA,NA,NA,NA,"species",1
"S35531443","Lesser Whistling-Duck","Dendrocygna javanica",222,52,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-20-2017","06:30 AM","eBird - Traveling Count",180,1,4,NA,6,"","","While doing Safari in the Kanha range, sunny day<br />Submitted from eBird Android 1.0.2","General","","AM",NA,"",NA,NA,NA,NA,"species",1
