Range,Beat,TID,Point,Bearing (D),Long,Lat
Bhaisanghat,Adwar, KTR89,0,154,80.826850,22.155331
Bhaisanghat,Adwar, KTR89,400,154,80.828533,22.151911
Bhaisanghat,Adwar, KTR89,800,154,80.830214,22.148492
Bhaisanghat,Adwar, KTR89,1200,154,80.831894,22.145072
Bhaisanghat,Adwar, KTR89,1600,154,80.833575,22.141650
Bhaisanghat,Adwar, KTR89,2000,154,80.835258,22.138231
Bhaisanghat,Ajanpur, KTR111,0,349,80.883836,22.118511
Bhaisanghat,Ajanpur, KTR111,400,349,80.883053,22.122481
Bhaisanghat,Ajanpur, KTR111,800,349,80.882272,22.126450
Bhaisanghat,Ajanpur, KTR111,1200,349,80.881492,22.130417
Bhaisanghat,Ajanpur, KTR111,1600,349,80.880711,22.134386
Bhaisanghat,Ajanpur, KTR111,2000,349,80.879928,22.138356
Bhaisanghat,Arandi, KTR112,0,180,80.712000,22.269500
Bhaisanghat,Arandi, KTR112,400,180,80.711978,22.265883
Bhaisanghat,Arandi, KTR112,800,180,80.711956,22.262267
Bhaisanghat,Arandi, KTR112,1200,180,80.711933,22.258650
Bhaisanghat,Arandi, KTR112,1600,180,80.711911,22.255033
Bhaisanghat,Arandi, KTR112,2000,180,80.711889,22.251417
Bhaisanghat,Baijalpur, KTR101,2000,97,80.734694,22.185972
Bhaisanghat,Baijalpur, KTR101,1600,97,80.738539,22.185528
Bhaisanghat,Baijalpur, KTR101,1200,97,80.742383,22.185083
Bhaisanghat,Baijalpur, KTR101,800,97,80.746228,22.184639
Bhaisanghat,Baijalpur, KTR101,400,97,80.750072,22.184194
Bhaisanghat,Baijalpur, KTR101,0,97,80.753917,22.183750
Bhaisanghat,Balda, KTR90,0,177,80.844444,22.192833
Bhaisanghat,Balda, KTR90,400,177,80.844656,22.189250
Bhaisanghat,Balda, KTR90,800,177,80.844867,22.185667
Bhaisanghat,Balda, KTR90,1200,177,80.845078,22.182083
Bhaisanghat,Balda, KTR90,1600,177,80.845289,22.178500
Bhaisanghat,Balda, KTR90,2000,177,80.845500,22.174917
Bhaisanghat,Balgaon (B), KTR92,0,202,80.827994,22.215908
Bhaisanghat,Balgaon (B), KTR92,400,202,80.826567,22.212439
Bhaisanghat,Balgaon (B), KTR92,800,202,80.825142,22.208967
Bhaisanghat,Balgaon (B), KTR92,1200,202,80.823714,22.205497
Bhaisanghat,Balgaon (B), KTR92,1600,202,80.822289,22.202025
Bhaisanghat,Balgaon (B), KTR92,2000,202,80.820861,22.198556
Bhaisanghat,Bhoorsadadar, KTR100,0,233,80.799658,22.126997
Bhaisanghat,Bhoorsadadar, KTR100,400,233,80.796642,22.124725
Bhaisanghat,Bhoorsadadar, KTR100,800,233,80.793625,22.122453
Bhaisanghat,Bhoorsadadar, KTR100,1200,233,80.790608,22.120181
Bhaisanghat,Bhoorsadadar, KTR100,1600,233,80.787592,22.117908
Bhaisanghat,Bhoorsadadar, KTR100,2000,233,80.784575,22.115636
Bhaisanghat,Deoridadar, KTR99,0,1,80.806444,22.152064
Bhaisanghat,Deoridadar, KTR99,400,1,80.806483,22.155844
Bhaisanghat,Deoridadar, KTR99,800,1,80.806522,22.159622
Bhaisanghat,Deoridadar, KTR99,1200,1,80.806561,22.163403
Bhaisanghat,Deoridadar, KTR99,1600,1,80.806600,22.167181
Bhaisanghat,Deoridadar, KTR99,2000,1,80.806639,22.170961
Bhaisanghat,Dongaria, KTR109,0,177,80.860556,22.214944
Bhaisanghat,Dongaria, KTR109,400,177,80.860756,22.211281
Bhaisanghat,Dongaria, KTR109,800,177,80.860953,22.207617
Bhaisanghat,Dongaria, KTR109,1200,177,80.861153,22.203953
Bhaisanghat,Dongaria, KTR109,1600,177,80.861350,22.200289
Bhaisanghat,Dongaria, KTR109,2000,177,80.861550,22.196625
Bhaisanghat,Dudhania (A), KTR94,0,210,80.872250,22.146139
Bhaisanghat,Dudhania (A), KTR94,400,210,80.870328,22.142844
Bhaisanghat,Dudhania (A), KTR94,800,210,80.868406,22.139550
Bhaisanghat,Dudhania (A), KTR94,1200,210,80.866483,22.136256
Bhaisanghat,Dudhania (A), KTR94,1600,210,80.864561,22.132961
Bhaisanghat,Dudhania (A), KTR94,2000,210,80.862639,22.129667
Bhaisanghat,Dudhania (B), KTR95,0,239,80.859981,22.158156
Bhaisanghat,Dudhania (B), KTR95,400,239,80.856772,22.156206
Bhaisanghat,Dudhania (B), KTR95,800,239,80.853564,22.154256
Bhaisanghat,Dudhania (B), KTR95,1200,239,80.850356,22.152303
Bhaisanghat,Dudhania (B), KTR95,1600,239,80.847147,22.150353
Bhaisanghat,Dudhania (B), KTR95,2000,239,80.843939,22.148403
Bhaisanghat,Garhaghat, KTR97,0,21,80.775686,22.128819
Bhaisanghat,Garhaghat, KTR97,400,21,80.777011,22.132194
Bhaisanghat,Garhaghat, KTR97,800,21,80.778333,22.135569
Bhaisanghat,Garhaghat, KTR97,1200,21,80.779658,22.138944
Bhaisanghat,Garhaghat, KTR97,1600,21,80.780981,22.142319
Bhaisanghat,Garhaghat, KTR97,2000,21,80.782306,22.145694
Bhaisanghat,Garhidadar, KTR107,0,147,80.877000,22.210583
Bhaisanghat,Garhidadar, KTR107,400,147,80.879172,22.207300
Bhaisanghat,Garhidadar, KTR107,800,147,80.881344,22.204017
Bhaisanghat,Garhidadar, KTR107,1200,147,80.883517,22.200733
Bhaisanghat,Garhidadar, KTR107,1600,147,80.885689,22.197450
Bhaisanghat,Garhidadar, KTR107,2000,147,80.887861,22.194167
Bhaisanghat,Jholar, KTR93,0,27,80.834750,22.119944
Bhaisanghat,Jholar, KTR93,400,27,80.836461,22.123328
Bhaisanghat,Jholar, KTR93,800,27,80.838172,22.126711
Bhaisanghat,Jholar, KTR93,1200,27,80.839883,22.130094
Bhaisanghat,Jholar, KTR93,1600,27,80.841594,22.133478
Bhaisanghat,Jholar, KTR93,2000,27,80.843306,22.136861
Bhaisanghat,Kadla (A), KTR91,0,181,80.819300,22.191278
Bhaisanghat,Kadla (A), KTR91,400,181,80.819250,22.187700
Bhaisanghat,Kadla (A), KTR91,800,181,80.819203,22.184122
Bhaisanghat,Kadla (A), KTR91,1200,181,80.819153,22.180544
Bhaisanghat,Kadla (A), KTR91,1600,181,80.819106,22.176967
Bhaisanghat,Kadla (A), KTR91,2000,181,80.819056,22.173389
Bhaisanghat,Kadla (B), KTR151,0,1,80.831131,22.160286
Bhaisanghat,Kadla (B), KTR151,400,1,80.831219,22.163900
Bhaisanghat,Kadla (B), KTR151,800,1,80.831308,22.167514
Bhaisanghat,Kadla (B), KTR151,1200,1,80.831397,22.171128
Bhaisanghat,Kadla (B), KTR151,1600,1,80.831486,22.174742
Bhaisanghat,Kadla (B), KTR151,2000,1,80.831575,22.178356
Bhaisanghat,Katoldih (A), KTR106,0,135,80.876219,22.165147
Bhaisanghat,Katoldih (A), KTR106,400,135,80.878931,22.162425
Bhaisanghat,Katoldih (A), KTR106,800,135,80.881642,22.159703
Bhaisanghat,Katoldih (A), KTR106,1200,135,80.884353,22.156981
Bhaisanghat,Katoldih (A), KTR106,1600,135,80.887064,22.154258
Bhaisanghat,Katoldih (A), KTR106,2000,135,80.889775,22.151536
Bhaisanghat,Katoldih (B), KTR152,0,254,80.874361,22.180639
Bhaisanghat,Katoldih (B), KTR152,400,254,80.870517,22.179531
Bhaisanghat,Katoldih (B), KTR152,800,254,80.866672,22.178419
Bhaisanghat,Katoldih (B), KTR152,1200,254,80.862831,22.177311
Bhaisanghat,Katoldih (B), KTR152,1600,254,80.858986,22.176200
Bhaisanghat,Katoldih (B), KTR152,2000,254,80.855142,22.175092
Bhaisanghat,Khamodidadar, KTR108,0,173,80.900528,22.174417
Bhaisanghat,Khamodidadar, KTR108,400,173,80.900950,22.170856
Bhaisanghat,Khamodidadar, KTR108,800,173,80.901372,22.167294
Bhaisanghat,Khamodidadar, KTR108,1200,173,80.901794,22.163733
Bhaisanghat,Khamodidadar, KTR108,1600,173,80.902217,22.160172
Bhaisanghat,Khamodidadar, KTR108,2000,173,80.902639,22.156611
Bhaisanghat,Kugaon, KTR113,0,196,80.736583,22.252139
Bhaisanghat,Kugaon, KTR113,400,196,80.735594,22.248672
Bhaisanghat,Kugaon, KTR113,800,196,80.734606,22.245206
Bhaisanghat,Kugaon, KTR113,1200,196,80.733617,22.241739
Bhaisanghat,Kugaon, KTR113,1600,196,80.732628,22.238272
